,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21
0,0.22,0.04,0.06,0.08,0.04,0.11,0.03,0.17,0.04,0.12,0.08,0.04,1.0,0.17,0.12,0.03,0.01,0.04,1.0,0.06,0.03
1,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
2,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
3,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
4,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
5,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
6,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
7,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
8,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
9,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
10,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
11,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
12,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
13,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
14,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
15,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
16,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
17,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
18,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
19,0.21,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
20,0.2,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
21,0.2,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
22,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
23,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
24,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
25,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
26,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
27,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
28,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.14,0.04,0.1,0.07,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
29,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.14,0.04,0.1,0.07,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
30,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
31,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
32,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
33,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
34,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
35,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
36,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
37,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
38,0.19,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
39,0.19,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
40,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
41,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.99,0.05,0.02
42,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.99,0.05,0.02
43,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.98,0.05,0.02
44,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.98,0.05,0.02
45,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.97,0.05,0.02
46,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.96,0.05,0.02
47,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.96,0.05,0.02
48,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.95,0.05,0.02
49,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.95,0.05,0.02
50,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.94,0.05,0.02
51,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.94,0.05,0.02
52,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.93,0.05,0.02
53,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.93,0.05,0.02
54,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.92,0.05,0.02
55,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.92,0.05,0.02
56,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.91,0.04,0.02
57,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.91,0.04,0.02
58,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.9,0.04,0.02
59,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.89,0.04,0.02
60,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.89,0.04,0.02
61,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.88,0.04,0.02
62,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.88,0.04,0.02
