,time,1,2,3,4,5,6,7,8,9,10
1,06:00,0.0,0.38,0.68,1.0,1.0,0.82,0.22,1.0,0.52,0.0
2,06:50,0.0,0.36,0.64,1.0,1.0,0.79,0.21,1.0,0.5,0.0
3,07:45,0.0,0.34,0.61,0.95,1.0,0.75,0.2,1.0,0.48,0.0
4,08:35,0.0,0.32,0.58,0.9,1.0,0.71,0.19,1.0,0.45,0.0
5,09:30,0.0,0.3,0.55,0.85,1.0,0.67,0.18,1.0,0.43,0.0
6,10:25,0.0,0.29,0.51,0.8,1.0,0.63,0.17,0.97,0.4,0.0
7,11:15,0.0,0.27,0.48,0.75,1.0,0.59,0.16,0.92,0.38,0.0
8,12:10,0.0,0.25,0.45,0.7,0.95,0.55,0.15,0.85,0.35,0.0
9,13:05,0.0,0.27,0.48,0.75,1.0,0.59,0.16,0.91,0.37,0.0
10,13:55,0.0,0.28,0.51,0.8,1.0,0.63,0.17,0.97,0.4,0.0
11,14:50,0.0,0.3,0.55,0.85,1.0,0.67,0.18,1.0,0.42,0.0
12,15:45,0.0,0.32,0.58,0.9,1.0,0.71,0.19,1.0,0.45,0.0
13,16:35,0.0,0.34,0.61,0.95,1.0,0.74,0.2,1.0,0.47,0.0
14,17:30,0.0,0.36,0.64,1.0,1.0,0.78,0.21,1.0,0.5,0.0
15,18:25,0.0,0.38,0.68,1.0,1.0,0.82,0.22,1.0,0.52,0.0
